"variable","importance"
"VeillonellaceaeVeillonellaASV976",100
"f__Ruminococcaceae_g__Eubacterium_s___groupASV402",58.7735695793791
"EggerthellaceaeEggerthellaASV876",30.5976199158808
"LachnospiraceaeBlautiaASV1088",30.229988769892
"f__Lachnospiraceae_g__Eubacterium_s___groupASV568",27.5763316044918
"MarinifilaceaeOdoribacterASV1003",26.479366072628
"f__Lachnospiraceae_g__Eubacterium_s___groupASV1599",25.2420275103269
"LachnospiraceaeunculturedASV881",24.3093376403356
"LachnospiraceaeunculturedASV1650",23.9437301066813
"TannerellaceaeParabacteroidesASV955",23.3162221956798
"VeillonellaceaeMegamonasASV1570",21.8857817998835
"TannerellaceaeParabacteroidesASV2863",18.0529339312968
"f__RuminococcaceaeRuminococcaceae_g__UCG_s___002ASV970",17.5051274172563
"f__Clostridiaceae_g__1Clostridium_s___1ASV416",17.0764912762058
"VeillonellaceaeMegamonasASV761",16.1429657665757
"f__Lachnospiraceae_g__Ruminococcus_s___groupASV1187",15.1486268353487
"StreptococcaceaeStreptococcusASV1449",15.1357595269302
"LachnospiraceaeAmbiguous_taxaASV1542",14.1718261497207
"RuminococcaceaeSubdoligranulumASV1423",13.5547309751459
"BacteroidaceaeBacteroidesASV1645",13.3063975085791
"f__Muribaculaceaeuncultured_g__bacteriumASV99_s___bacteriumASV99",11.8252618574228
"BacteroidaceaeBacteroidesASV403",8.47481132216685
"f__ChristensenellaceaeChristensenellaceae_g__R_s___groupASV1237",8.46674821805309
"f__RuminococcaceaeRuminococcaceae_g__UCG_s___002ASV1620",7.44679862609
"f__LachnospiraceaeCAG_g__56ASV1640_s___56ASV1640",6.44861907839723
"LachnospiraceaeNAASV167",4.05313547601164
"AcidaminococcaceaePhascolarctobacteriumASV1641",3.22047823319906
"VeillonellaceaeVeillonellaASV404",2.17681908084984
"LachnospiraceaeBlautiaASV682",1.89391046066626
