"variable","importance"
"f__Ruminococcaceae_g__Eubacterium_s___groupASV402",100
"LachnospiraceaeNAASV272",96.326344971168
"TannerellaceaeParabacteroidesASV2863",96.12602186522
"f__LachnospiraceaeCoprococcus_g__3ASV446_s___3ASV446",83.7045954579497
"VeillonellaceaeVeillonellaASV976",73.3448304812457
"f__RuminococcaceaeRuminococcaceae_g__UCG_s___002ASV1620",70.7803628835706
"LachnospiraceaeBlautiaASV1249",68.7372448576812
"f__Ruminococcaceae_g__Eubacterium_s___groupASV1484",59.9505022741297
"f__LachnospiraceaeTyzzerella_g__4ASV1611_s___4ASV1611",59.2312015858401
"RuminococcaceaeSubdoligranulumASV1423",51.233100200286
"BacteroidaceaeBacteroidesASV31",45.3704443556844
"f__LachnospiraceaeLachnospiraceae_g__UCG_s___010ASV1607",41.5976506912344
"f__Lachnospiraceae_g__Eubacterium_s___groupASV1599",38.3514273991491
"f__EnterobacteriaceaeEscherichia_g__ShigellaASV44_s___ShigellaASV44",34.2607412661002
"f__Family_g__XIIIFamily_s___groupASV1336",31.9680244987538
"f__Clostridiaceae_g__1Clostridium_s___1ASV416",31.8669337849354
"LachnospiraceaeunculturedASV1289",29.9607880678019
"f__LachnospiraceaeLachnospiraceae_g__UCG_s___004ASV1636",29.7995904450676
"VeillonellaceaeVeillonellaASV404",28.6538827859712
"PeptococcaceaePeptococcusASV398",18.1081884527284
"BacteroidaceaeBacteroidesASV423",14.6860087840622
"f__LachnospiraceaeLachnospiraceae_g__NC2004_s___groupASV1605",13.6297814359445
"f__RuminococcaceaeRuminococcus_g__2ASV270_s___2ASV270",11.7146729549564
"f__LachnospiraceaeLachnospiraceae_g__UCG_s___010ASV192",11.5733628740464
"LachnospiraceaeNAASV1100",7.81185456653997
"BacteroidaceaeBacteroidesASV403",7.76601867260891
"LachnospiraceaeHungatellaASV546",5.48398973154363
"LachnospiraceaeAmbiguous_taxaASV183",4.58222477269802
"f__RuminococcaceaeRuminococcaceae_g__UCG_s___005ASV831",0.926991946943937
