"variable","importance"
"TannerellaceaeParabacteroidesASV2863",100
"f__Ruminococcaceae_g__Eubacterium_s___groupASV402",67.4873709470413
"f__Lachnospiraceae_g__Eubacterium_s___groupASV1599",61.8837417811505
"LachnospiraceaeBlautiaASV1249",39.0818681393089
"f__LachnospiraceaeCoprococcus_g__3ASV446_s___3ASV446",37.3757150536438
"f__Ruminococcaceae_g__Eubacterium_s___groupASV1484",34.2370564619173
"f__RuminococcaceaeRuminococcaceae_g__UCG_s___002ASV1620",33.5644983051216
"LachnospiraceaeNAASV272",32.04903999273
"VeillonellaceaeVeillonellaASV976",28.2788240438561
"f__Family_g__XIIIFamily_s___groupASV1336",25.0850665338309
"f__LachnospiraceaeLachnospiraceae_g__NC2004_s___groupASV1605",22.7570163309231
"BacteroidaceaeBacteroidesASV31",22.0021308048823
"RuminococcaceaeSubdoligranulumASV1423",21.0956522193908
"PeptococcaceaePeptococcusASV398",18.9846250214404
"BacteroidaceaeBacteroidesASV423",17.8696441973889
"f__LachnospiraceaeTyzzerella_g__4ASV1611_s___4ASV1611",17.2105146991654
"f__Clostridiaceae_g__1Clostridium_s___1ASV416",15.5668653850678
"VeillonellaceaeVeillonellaASV404",15.2961235625313
"f__EnterobacteriaceaeEscherichia_g__ShigellaASV44_s___ShigellaASV44",14.3986096442805
"LachnospiraceaeNAASV1100",12.610068260329
"f__LachnospiraceaeLachnospiraceae_g__UCG_s___010ASV1607",9.62070795969236
"BacteroidaceaeBacteroidesASV403",7.02293565449189
"f__LachnospiraceaeLachnospiraceae_g__UCG_s___004ASV1636",5.2379845917083
"f__RuminococcaceaeRuminococcaceae_g__UCG_s___005ASV831",4.99373346057178
"f__RuminococcaceaeRuminococcus_g__2ASV270_s___2ASV270",4.779727870175
"f__LachnospiraceaeLachnospiraceae_g__UCG_s___010ASV192",3.01110695291006
"TannerellaceaeParabacteroidesASV115",2.82912284443288
"LachnospiraceaeunculturedASV1289",2.28892261034759
"LachnospiraceaeHungatellaASV546",2.1919252912074
