"variable","importance"
"LachnospiraceaeLachnoclostridiumASV985",100
"f__LachnospiraceaeCoprococcus_g__3ASV446_s___3ASV446",85.9035873595736
"LachnospiraceaeunculturedASV1650",65.0805672587227
"LachnospiraceaeNAASV272",57.9744441194463
"f__RuminococcaceaeRuminococcaceae_g__UCG_s___002ASV970",52.2617308368413
"LachnospiraceaeLachnoclostridiumASV857",49.6840524054579
"EggerthellaceaeEggerthellaASV876",43.677300738684
"VeillonellaceaeMegamonasASV761",43.2953266448875
"LachnospiraceaeSellimonasASV267",32.4909959024673
"f__RuminococcaceaeRuminococcaceae_g__UCG_s___002ASV809",31.5903425218463
"LachnospiraceaeBlautiaASV1088",28.4646943891034
"VeillonellaceaeMegamonasASV1546",27.5113268422302
"LachnospiraceaeHungatellaASV546",26.036385081505
"BacteroidaceaeBacteroidesASV1049",24.4302808045465
"AkkermansiaceaeAkkermansiaASV1476",23.8827607843841
"f__LachnospiraceaeLachnospiraceae_g__UCG_s___010ASV1653",21.631787069303
"f__ChristensenellaceaeChristensenellaceae_g__R_s___groupASV1420",17.6853546202024
"VeillonellaceaeMegamonasASV1570",16.8342145892825
"LachnospiraceaeNAASV1006",16.2968378908076
"PrevotellaceaeAlloprevotellaASV1128",14.6579261104185
"RikenellaceaeAlistipesASV1160",12.7188129518992
"StreptococcaceaeStreptococcusASV179",12.5872519137985
"f__Family_g__XIIIFamily_s___groupASV1336",10.3676771650188
"BurkholderiaceaeSutterellaASV392",10.1568925696618
"BacteroidaceaeBacteroidesASV423",9.46429572764761
"LachnospiraceaeAmbiguous_taxaASV1542",6.94088183445172
"RuminococcaceaeunculturedASV74",6.91835160110708
"f__ChristensenellaceaeChristensenellaceae_g__R_s___groupASV1237",5.43872837666566
"SaccharimonadaceaeAmbiguous_taxaASV1621",3.65835174360484
