"variable","importance"
"LachnospiraceaeunculturedASV1650",100
"f__LachnospiraceaeCoprococcus_g__3ASV446_s___3ASV446",95.1322278773021
"VeillonellaceaeMegamonasASV761",77.4985568778113
"LachnospiraceaeLachnoclostridiumASV857",76.9856337080899
"LachnospiraceaeNAASV272",73.061706471367
"LachnospiraceaeBlautiaASV1088",61.8503824566973
"VeillonellaceaeMegamonasASV1546",59.0424473400819
"LachnospiraceaeAmbiguous_taxaASV1542",52.4124257177735
"LachnospiraceaeLachnoclostridiumASV985",52.2001221762343
"VeillonellaceaeMegamonasASV1570",47.7892648173824
"EggerthellaceaeEggerthellaASV876",47.5164134865703
"LachnospiraceaeHungatellaASV546",42.7921884571667
"f__RuminococcaceaeRuminococcaceae_g__UCG_s___002ASV970",41.3924083401832
"LachnospiraceaeSellimonasASV267",39.0693314600812
"BacteroidaceaeBacteroidesASV1049",37.5417414231512
"f__LachnospiraceaeLachnospiraceae_g__UCG_s___010ASV1653",35.9721463045999
"BacteroidaceaeBacteroidesASV423",29.2874606564689
"f__Family_g__XIIIFamily_s___groupASV1336",25.7335603370741
"AkkermansiaceaeAkkermansiaASV1476",24.9169137643532
"RuminococcaceaeunculturedASV74",20.2703534451141
"f__RuminococcaceaeRuminococcaceae_g__UCG_s___002ASV809",20.087700833702
"BurkholderiaceaeSutterellaASV392",19.9969766266924
"StreptococcaceaeStreptococcusASV179",17.7482293042761
"f__ChristensenellaceaeChristensenellaceae_g__R_s___groupASV1420",17.3758300012149
"PrevotellaceaeAlloprevotellaASV1128",16.8424215401561
"f__ChristensenellaceaeChristensenellaceae_g__R_s___groupASV1237",15.4989271581952
"LachnospiraceaeNAASV1006",15.2013735676424
"RikenellaceaeAlistipesASV1160",12.4049551749372
"RuminococcaceaeunculturedASV340",10.4084536585857
